UTC Date Time,Latitude,Longitude,Altitude,Temperature,Humidity,Pressure,Wind Speed,Batteryoltage
2019-11-19T08:00:28+00:00,-62.43546667,14.85815,3,-4,46,101389,8,6
2019-11-19T12:00:05+00:00,-62.42251667,14.80321667,14,-5,55,101363,9,6
2019-11-19T16:00:29+00:00,-62.42326667,14.78563333,8162,-7,45,101402,8,6.1
2019-11-19T20:00:28+00:00,-62.40173333,14.79006667,0,-9,46,101413,8,6
2019-11-20T00:00:28+00:00,-62.37406667,14.74583333,8159,-9,46,101413,10,6.1
2019-11-20T04:00:28+00:00,-62.37155,14.70403333,7,-9,49,101405,8,5.9
2019-11-20T08:00:28+00:00,-62.35558333,14.69645,0,-8,55,101384,10,6
2019-11-20T11:59:52+00:00,-62.31398333,14.67006667,8166,-6,46,101407,9,6.1
2019-11-20T16:00:30+00:00,-62.29276667,14.59845,7899,-6,49,101362,6,6.1
2019-11-20T20:00:28+00:00,-62.29143333,14.59708333,8159,-8,52,101397,9,6.1
