UTC Date Time,Latitude,Longitude,Altitude,Temperature,Humidity,Pressure,Wind Speed,Batteryoltage
2019-11-19T08:00:28+00:00,-59.25946667,14.21115,11,4,41,101441,8,5.7
2019-11-19T12:00:05+00:00,-59.24651667,14.156217,22,3,53,101475,6,5.7
2019-11-19T16:00:29+00:00,-59.24726667,14.138633,8170,1,49,101466,6,5.8
2019-11-19T20:00:28+00:00,-59.22573333,14.143067,8,-1,43,101474,8,5.7
2019-11-20T00:00:28+00:00,-59.19806667,14.098833,8167,-1,41,101472,5,5.8
2019-11-20T04:00:28+00:00,-59.19555,14.057033,15,-1,44,101431,9,5.6
2019-11-20T08:00:28+00:00,-59.17958333,14.04945,8,0,59,101435,9,5.7
2019-11-20T11:59:52+00:00,-59.13798333,14.023067,8174,2,48,101425,7,5.8
2019-11-20T16:00:30+00:00,-59.11676667,13.95145,7907,2,48,101426,5,5.8
2019-11-20T20:00:28+00:00,-59.11543333,13.950083,8167,0,48,101435,5,5.8
2019-11-21T00:00:28+00:00,-59.09046667,13.9803,8168,-1,55,101445,8,5.8
2019-11-21T04:00:10+00:00,-59.05541667,13.957683,14,-2,52,101448,5,5.6
2019-11-21T08:00:05+00:00,-59.05235,13.9491,7947,5,56,101433,9,5.8
2019-11-21T12:00:04+00:00,-59.03263333,14.001583,25,9,46,101468,5,5.8
2019-11-21T16:00:29+00:00,-58.99156667,14.037517,8170,2,56,101437,7,5.8
2019-11-21T20:00:28+00:00,-58.97045,14.044,8168,0,52,101455,10,5.8
2019-11-22T00:00:28+00:00,-58.96273333,14.09645,8170,-1,44,101447,8,5.8
2019-11-22T04:00:14+00:00,-58.93941667,14.176533,20,-1,44,101452,7,5.7
2019-11-22T08:00:28+00:00,-58.91065,14.1999,8,3,49,101450,9,5.7
2019-11-22T11:59:58+00:00,-58.91681667,14.2372,61,5,53,101430,5,5.7
2019-11-22T16:00:11+00:00,-58.9099,14.3253,8169,3,48,101445,6,5.8
2019-11-22T20:00:28+00:00,-58.8779,14.364433,6,-1,53,101452,8,5.7
2019-11-23T00:00:28+00:00,-58.88258333,14.355733,8169,-1,55,101432,10,5.8
2019-11-23T04:00:10+00:00,-58.90453333,14.4131,13,-2,52,101457,6,5.7
2019-11-23T08:00:10+00:00,-58.89,14.4701,8168,0,45,101454,5,5.8
2019-11-23T12:00:06+00:00,-58.88241667,14.450933,5371,6,43,101429,7,5.8
2019-11-23T16:00:29+00:00,-58.91973333,14.4653,8172,2,48,101436,6,5.8
2019-11-23T20:00:28+00:00,-58.9273,14.532133,6,-1,47,101469,7,5.7
2019-11-24T00:00:29+00:00,-58.90253333,14.539217,8172,-1,50,101464,6,5.8
2019-11-24T04:00:10+00:00,-58.90225,14.4743,5,-1,52,101464,5,5.7
2019-11-24T08:00:10+00:00,-58.91326667,14.461617,8169,1,57,101448,5,5.8
2019-11-24T12:00:28+00:00,-58.8919,14.4579,10,3,52,101458,7,5.7
2019-11-24T16:00:28+00:00,-58.872,14.389017,8171,0,53,101463,10,5.8
2019-11-24T20:00:28+00:00,-58.86631667,14.351483,11,-2,51,101456,7,5.7
2019-11-25T00:00:28+00:00,-58.83581667,14.35375,8171,-1,55,101434,9,5.8
2019-11-25T04:00:10+00:00,-58.78658333,14.3112,6,0,49,101425,9,5.7
2019-11-25T08:00:28+00:00,-58.7445,14.271083,8,2,46,101439,5,5.7
2019-11-25T12:00:28+00:00,-58.71066667,14.267583,8,4,50,101453,10,5.7
2019-11-25T16:00:28+00:00,-58.6971,14.241367,8169,3,56,101475,5,5.8
2019-11-25T20:00:28+00:00,-58.6923,14.204233,8169,2,43,101451,5,5.8
2019-11-26T00:00:11+00:00,-58.67266667,14.179,8173,1,57,101429,6,5.8
2019-11-26T04:00:28+00:00,-58.65525,14.151333,9,2,53,101426,9,5.7
2019-11-26T08:00:28+00:00,-58.63813333,14.144567,8,8,54,101460,7,5.7
2019-11-26T12:00:29+00:00,-58.62285,14.1132,5,11,43,101439,5,5.8
2019-11-26T16:00:28+00:00,-58.61908333,14.088533,5,4,44,101429,10,5.8
2019-11-26T20:00:28+00:00,-58.60523333,14.073067,8167,1,48,101445,8,5.8
2019-11-27T00:00:28+00:00,-58.5895,14.033667,8171,1,46,101456,5,5.8
2019-11-27T04:00:29+00:00,-58.59418333,14.008517,8173,2,59,101436,6,5.8
2019-11-27T08:00:28+00:00,-58.5905,14.014067,5,10,47,101456,8,5.7
2019-11-27T12:00:34+00:00,-58.57236667,14.003517,8,14,51,101452,8,5.8
2019-11-27T16:00:28+00:00,-58.57238333,13.98605,8168,7,44,101434,9,5.8
2019-11-27T20:00:28+00:00,-58.56426667,14.006233,7,2,52,101468,8,5.8
2019-11-28T00:00:29+00:00,-58.53883333,14.0347,8172,1,53,101471,5,5.8
2019-11-28T04:00:28+00:00,-58.52448333,14.039433,6,1,45,101456,10,5.7
2019-11-28T12:00:11+00:00,-58.49688333,14.122383,6,8,48,101451,8,5.8
2019-11-28T16:00:10+00:00,-58.48383333,14.138283,8170,4,48,101444,8,5.8
2019-11-28T20:00:28+00:00,-58.47845,14.159183,15,0,48,101472,9,5.8
2019-11-29T00:00:28+00:00,-58.47741667,14.185183,8170,-1,48,101461,10,5.8
2019-11-29T04:00:28+00:00,-58.47198333,14.2046,8175,0,58,101471,5,5.8
2019-11-29T08:00:28+00:00,-58.46573333,14.202633,10,6,42,101465,7,5.8
2019-11-29T12:00:28+00:00,-58.47446667,14.198417,9,14,55,101457,8,5.8
2019-11-29T16:00:28+00:00,-58.478,14.209383,7,6,51,101447,10,5.8
2019-11-29T20:00:28+00:00,-58.45603333,14.200667,10,0,54,101445,10,5.8
2019-11-30T00:00:10+00:00,-58.45256667,14.162333,8174,-1,46,101464,9,5.8
2019-11-30T04:00:10+00:00,-58.47226667,14.157533,7920,0,52,101467,7,5.8
2019-11-30T08:00:28+00:00,-58.4716,14.180383,6,11,54,101463,5,5.8
2019-11-30T12:00:28+00:00,-58.46646667,14.153633,8168,19,55,101445,6,5.8
2019-11-30T16:00:28+00:00,-58.4869,14.147233,8167,14,48,101446,10,5.8
2019-11-30T20:00:29+00:00,-58.49808333,14.178883,11,0,52,101458,8,5.8
2019-12-01T00:00:10+00:00,-58.4961,14.184933,8171,-1,51,101467,6,5.8
2019-12-01T04:00:29+00:00,-58.5117,14.176033,7,0,54,101459,6,5.8
2019-12-01T08:00:28+00:00,-58.54221667,14.195683,9,12,44,101435,10,5.8
2019-12-01T12:00:28+00:00,-58.54641667,14.225917,8168,16,49,101434,8,5.8
2019-12-01T16:00:28+00:00,-58.53918333,14.18405,8167,4,47,101435,9,5.8
2019-12-01T20:00:28+00:00,-58.56161667,14.126283,15,-1,51,101426,7,5.8
2019-12-02T00:00:06+00:00,-58.55938333,14.1486,255,-1,59,101438,6,5.8
