UTC Date Time,Latitude,Longitude,Altitude,Temperature,Humidity,Pressure,Wind Speed,Batteryoltage
2019-10-21T04:00:40+00:00,-52.484033,2.3408,28,7,62,101404,8,"5,6"
2019-10-21T08:00:28+00:00,-52.596933,2.3706,17,4,59,101422,8,"5,6"
2019-10-21T12:00:10+00:00,-52.388083,2.384766667,24,5,52,101454,11,"5,6"
2019-10-21T16:00:40+00:00,-52.586817,2.426133333,33,7,52,101449,11,"5,6"
2019-10-21T20:00:35+00:00,-52.497533,2.452983333,34,6,57,101474,10,"5,6"
2019-10-22T00:00:29+00:00,-52.559617,2.586433333,24,4,55,101397,8,"5,6"
2019-10-22T04:00:28+00:00,-52.558517,2.580966667,24,7,57,101388,9,"5,6"
2019-10-22T08:00:40+00:00,-53.230917,2.596816667,32,6,55,101409,11,"5,6"
2019-10-22T12:00:05+00:00,-53.394717,2.658383333,52,6,57,101412,9,"5,6"
2019-10-23T00:00:29+00:00,-54.672817,2.615066667,27,2,60,101445,8,"5,6"
2019-10-23T04:00:28+00:00,-55.158733,2.610133333,19,1,59,101448,9,"5,6"
2019-10-23T08:00:28+00:00,-55.371367,2.6064,16,0,60,101475,11,"5,6"
2019-10-23T12:00:04+00:00,-55.292867,2.614516667,67,3,53,101464,8,"5,6"
2019-10-24T09:57:10+00:00,-56.740567,2.650133333,48,27,59,101375,8,"5,8"
2019-10-24T13:00:29+00:00,-56.723117,2.6694,8170,3,51,101435,11,"5,8"
2019-10-24T17:00:28+00:00,-56.702833,2.7003,8170,-1,61,101461,8,"5,8"
2019-10-24T21:00:29+00:00,-56.682333,2.738083333,9,-1,62,101401,9,"5,6"
2019-10-25T01:00:11+00:00,-56.66665,2.766316667,8169,-6,64,101416,8,"5,8"
2019-10-25T05:00:34+00:00,-56.653817,2.788333333,24,-1,58,101457,8,"5,5"
2019-10-25T09:00:28+00:00,-56.637017,2.820183333,16,6,58,101411,11,"5,6"
2019-10-25T13:00:10+00:00,-56.6194,2.8352,11,11,54,101470,10,"5,7"
2019-10-28T11:57:34+00:00,-56.723817,9.225016667,28,29,57,101437,8,"5,6"
2019-10-28T15:00:28+00:00,-56.6903,9.22365,22,6,54,101437,8,"5,6"
2019-10-28T19:00:10+00:00,-56.6537,9.215783333,14,-4,60,101429,10,"5,5"
2019-10-28T23:00:28+00:00,-56.714283,9.6096,21,-3,55,101457,9,"5,5"
2019-10-29T03:00:12+00:00,-56.843233,10.7115,23,-3,61,101420,11,"5,4"
2019-10-29T07:00:29+00:00,-56.80805,10.7503,18,-5,54,101429,9,"5,5"
2019-10-29T11:00:28+00:00,-56.76755,10.76363333,15,-2,61,101449,9,"5,5"
2019-10-29T15:00:28+00:00,-56.722367,10.79361667,38,4,59,101440,9,"5,6"
2019-10-29T19:00:10+00:00,-56.795067,11.47696667,24,-2,59,101443,9,"5,5"
2019-10-29T23:00:11+00:00,-56.890333,12.26095,18,-5,54,101475,10,"5,5"
2019-10-30T03:00:10+00:00,-56.88425,13.38183333,15,-2,55,101445,9,"5,5"
2019-10-30T07:00:28+00:00,-56.866883,13.45391667,16,0,51,101448,11,"5,5"
2019-10-30T08:47:35+00:00,-56.8601,13.47296667,27,2,52,101373,9,"5,3"
2019-10-30T12:00:12+00:00,-56.853183,13.51003333,31,4,58,101480,10,"5,6"
2019-10-30T16:00:28+00:00,-56.847783,13.55253333,10,1,53,101465,8,"5,6"
2019-10-30T20:00:28+00:00,-56.849183,13.57276667,19,1,57,101444,10,"5,5"
2019-10-31T00:00:29+00:00,-56.858017,13.59313333,16,4,60,101460,11,"5,6"
2019-10-31T04:00:06+00:00,-56.870333,13.6144,16,2,60,101420,8,"5,6"
2019-10-31T08:00:10+00:00,-56.8899,13.63795,10,8,57,101412,11,"5,6"
2019-10-31T12:00:10+00:00,-56.912183,13.65955,15,13,50,101407,8,"5,7"
2019-10-31T16:00:28+00:00,-56.934067,13.65423333,12,8,53,101416,11,"5,7"
2019-10-31T20:00:28+00:00,-56.954517,13.63981667,14,5,58,101469,9,"5,6"
2019-11-01T00:00:29+00:00,-56.969483,13.66631667,13,4,61,101405,8,"5,6"
2019-11-01T04:00:00+00:00,-56.970567,13.69938333,8173,4,56,101389,11,"5,8"
2019-11-01T08:00:28+00:00,-56.974317,13.69468333,8169,11,56,101376,11,"5,8"
2019-11-01T12:00:28+00:00,-56.98385,13.69286667,8,16,57,101415,8,"5,8"
2019-11-01T16:00:10+00:00,-56.98065,13.70125,21,11,55,101394,11,"5,8"
2019-11-01T20:00:28+00:00,-56.973167,13.6899,15,4,61,101389,9,"5,7"
2019-11-02T00:00:28+00:00,-56.9755,13.666,11,3,61,101366,10,"5,6"
2019-11-02T04:00:09+00:00,-56.978033,13.65453333,7941,2,53,101393,8,"5,8"
2019-11-02T08:00:06+00:00,-56.9649,13.62885,7934,7,58,101455,9,"5,8"
2019-11-02T12:00:28+00:00,-56.946467,13.54683333,8169,3,59,101398,10,"5,8"
2019-11-02T16:00:10+00:00,-56.9362,13.48596667,8179,3,62,101452,9,"5,8"
2019-11-02T19:59:58+00:00,-56.914033,13.4543,18,1,55,101457,11,"5,6"
2019-11-03T00:00:28+00:00,-56.890767,13.41485,9,0,56,101440,11,"5,6"
