Date Time (UTC),Device,Direction,Payload
7/27/2019 13:33,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000008000d025d3c4b36d574b5c5ab95d5bf014800f001291afff804000d035d3c4ecbe773b5c5e9b7e3bf014f00f001331afd0008000d045d3c5260ff72b5c5fc52efbf013b00f0011d1afaf104000d
7/27/2019 14:49,RockBLOCK 17285,MO,015d3c59891c71b5c55e8500c0014200f001241af9e006000d025d3c5d1d3270b5c531eb03c0014300f001251af8ea06000d035d3c60b15f6fb5c53e9606c0021200f002011af7f804000d045d3c6444a06eb5c51a8607c0014500f0012c1af7db04000d
7/28/2019 14:53,RockBLOCK 17285,MO,015d3c6b6d1e6db5c5e27505c0013d00f0011e1af40004000d0200000000000000000000000000000000000000000000040d03000000000000000000000000000000000000000104e2040d0400000000000000000000000000000000000000000000060d
7/28/2019 15:52,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000060d0200000000000000000000000000000000000000ffe525040d0300000000000000000000000000000000000000ffdb61060d0400000000000000000000000000000000000000fefb1e060d
7/28/2019 16:52,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d0200000000000000000000000000000000000000fef15a040d0300000000000000000000000000000000000000000000060d0400000000000000000000000000000000000000000000060d
7/28/2019 17:51,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d0200000000000000000000000000000000000000000000040d0300000000000000000000000000000000000000feea07040d0400000000000000000000000000000000000000000000040d
7/28/2019 18:50,RockBLOCK 17285,MO,0100000000000000000000000000000000000000fef3cb060d0200000000000000000000000000000000000000000000040d0300000000000000000000000000000000000000fef63c060d0400000000000000000000000000000000000000fef8ad040d
7/28/2019 19:49,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000060d0200000000000000000000000000000000000000fefd8f060d0300000000000000000000000000000000000000fefb1e080d0400000000000000000000000000000000000000fefb1e040d
7/28/2019 20:49,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d0200000000000000000000000000000000000000fefd8f040d0300000000000000000000000000000000000000fe0000040d0400000000000000000000000000000000000000000000060d
7/28/2019 21:48,RockBLOCK 17285,MO,0100000000000000000000000000000000000000fe0000060d0200000000000000000000000000000000000000ffdb61040d0300000000000000000000000000000000000000ffddd2040d0400000000000000000000000000000000000000ffddd2060d
7/28/2019 22:47,RockBLOCK 17285,MO,0100000000000000000000000000000000000000ffe043040d0200000000000000000000000000000000000000000000060d0300000000000000000000000000000000000000ffe525060d0400000000000000000000000000000000000000ffe796060d
7/28/2019 23:47,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000160d0200000000000000000000000000000000000000000000060d0300000000000000000000000000000000000000fff63c040d0400000000000000000000000000000000000000fffb1e060d
7/29/2019 0:46,RockBLOCK 17285,MO,0100000000000000000000000000000000000000ff0000040d0200000000000000000000000000000000000000ff0000060d0300000000000000000000000000000000000000ff0000040d040000000000000000000000000000000000000000db61060d
7/29/2019 1:46,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d020000000000000000000000000000000000000000e043040d030000000000000000000000000000000000000000e2b4060d0400000000000000000000000000000000000000000000040d
7/29/2019 2:45,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d020000000000000000000000000000000000000000ea07040d030000000000000000000000000000000000000000eee9040d040000000000000000000000000000000000000000f15a060d
7/29/2019 3:44,RockBLOCK 17285,MO,010000000000000000000000000000000000000000f3cb060d0200000000000000000000000000000000000000000000040d0300000000000000000000000000000000000000000000060d0400000000000000000000000000000000000000000000040d
7/29/2019 4:44,RockBLOCK 17285,MO,010000000000000000000000000000000000000000f63c060d0200000000000000000000000000000000000000000000040d030000000000000000000000000000000000000000fd8f060d0400000000000000000000000000000000000000000000040d
7/29/2019 5:43,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000271060d0200000000000000000000000000000000000000000000040d0300000000000000000000000000000000000000000000080d04000000000000000000000000000000000000000004e2040d
7/29/2019 6:43,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000060d0200000000000000000000000000000000000000000000060d0300000000000000000000000000000000000000000000060d0400000000000000000000000000000000000000000000060d
7/29/2019 7:42,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000ea6040d0200000000000000000000000000000000000000001117040d0300000000000000000000000000000000000000000000060d040000000000000000000000000000000000000000186a040d
7/29/2019 8:42,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000060d0200000000000000000000000000000000000000000000060d0300000000000000000000000000000000000000010271040d0400000000000000000000000000000000000000010ea6060d
7/29/2019 9:41,RockBLOCK 17285,MO,010000000000000000000000000000000000000001186a060d0200000000000000000000000000000000000000000000060d0300000000000000000000000000000000000000000000060d04000000000000000000000000000000000000000209c4060d
7/29/2019 10:40,RockBLOCK 17285,MO,010000000000000000000000000000000000000004222e060d020000000000000000000000000000000000000004186a060d0300000000000000000000000000000000000000000000060d040000000000000000000000000000000000000003249f060d
7/29/2019 11:40,RockBLOCK 17285,MO,0100000000000000000000000000000000000000000000040d020000000000000000000000000000000000000004222e040d0300000000000000000000000000000000000000000000060d0400000000000000000000000000000000000000051388060d
7/29/2019 13:43,RockBLOCK 17285,MO,0100000000000000000000000000000000000000051adb060d025d3ef310ab0da9c5bb8f8b41013c00a0011e1a0e249f060d035d3ef5763106a9c566ce8241013c00a0011f1a081117040d045d3ef7dc0fffa8c537fd7341015400a0013d1a061388060d
7/29/2019 14:35,RockBLOCK 17285,MO,015d3efca72bf2a8c5e97d5141015700a001421e0509c4060d025d3eff0d9beba8c52f344041021900a0020a1a041d4c040d035d3f017196e4a8c512032d41021700a002071a040000040d045d3f03d659dea8c59c3f1a41014700a0012e1e031117040d
7/29/2019 15:26,RockBLOCK 17285,MO,015d3f08a137d4a8c5a31ed840013f00a001221a021d4c060d025d3f0b0636cfa8c5ee77a940013e00a0011f1e021388040d035d3f0d6ba4caa8c5e17a7840013d00a0011d1e020753060d045d3f0fcfdcc5a8c5b1c41740013c00a0011c1a0204e2040d
7/29/2019 16:17,RockBLOCK 17285,MO,015d3f149998c0a8c5ebad013e014000a001201e01249f060d025d3f16fe93c0a8c58811023e013b00a0011c1a01222e060d035d3f196389c0a8c5ee7cff3d013b00a0011b1a01222e040d045d3f1bc98bc0a8c5d0f2fc3d013c00a0011c1a01222e040d
7/29/2019 17:08,RockBLOCK 17285,MO,015d3f20958dc0a8c57c9bfe3d013e00a001211a020000040d025d3f22fb8cc0a8c5e622fe3d014000a001251a020000060d035d3f25628ec0a8c54512fd3d014300a0012a1a020271060d045d3f27c88cc0a8c535eff83d014100a001241a020000060d
7/29/2019 17:59,RockBLOCK 17285,MO,015d3f2c958dc0a8c50113f83d014d00a001331a020000060d025d3f2efb8ec0a8c5cb67f93d014f00a001341a020000040d035d3f31618fc0a8c54772f93d013e00a001221a020271040d045d3f33c690c0a8c52f51fd3d020500a001541a020000040d
7/29/2019 18:50,RockBLOCK 17285,MO,015d3f389191c0a8c5d93df93d015d00a001431a020271060d025d3f3af790c0a8c51f2ef93d015500a001381a020271060d035d3f3d5c8ec0a8c51990fd3d014e00a001311e020271040d045d3f3fc287c0a8c5371a003e014b00a0012d1a020000080d
7/29/2019 19:42,RockBLOCK 17285,MO,015d3f448d86c0a8c557b2033e015200a001371a020000040d025d3f46f388c0a8c52029023e014d00a001331a020271080d035d3f495989c0a8c59886013e020e00a0015d1a020271040d045d3f4bbf87c0a8c5d6c50d3e013300a001141a020271060d
7/29/2019 20:33,RockBLOCK 17285,MO,015d3f508c89c0a8c50e32093e041a00a0040f1a020000060d025d3f52f18bc0a8c537540c3e015800a001401e020000060d035d3f555680c0a8c571ac0b3e021b00a002071a01249f060d045d3f57bb7fc0a8c5c5030a3e014b00a001321a01249f040d
7/29/2019 21:24,RockBLOCK 17285,MO,015d3f5c857ac0a8c5d7860a3e014e00a001311e020000040d025d3f5ee980c0a8c5876d0b3e020000a0014b1a01249f040d035d3f614e81c0a8c5e370063e016300a0014a1a01222e040d045d3f63b381c0a8c5e44e093e013400a001171a01222e060d
7/29/2019 22:15,RockBLOCK 17285,MO,015d3f687d83c0a8c546eb083e014000a001251e011fbd040d025d3f6ae280c0a8c5280f0b3e014900a0012f1a01222e040d035d3f6d4879c0a8c55ed70f3e014600a0012b1a01222e060d045d3f6fae72c0a8c5c1730f3e014c00a001311a01249f060d
7/29/2019 23:06,RockBLOCK 17285,MO,015d3f747979c0a8c573d7123e015200a001371a011fbd040d025d3f76de77c0a8c50de00d3e015700a0013e1e01222e040d035d3f794478c0a8c53bdf0f3e014600a0012b1a01222e060d045d3f7ba976c0a8c5f2d20d3e014700a0012d1a01222e040d
7/29/2019 23:57,RockBLOCK 17285,MO,015d3f807578c0a8c592b3103e014700a0012c1a011fbd060d025d3f82db7bc0a8c5ed64103e014600a0012a1e011d4c060d035d3f854074c0a8c558ad0c3e020100a0014f1e011adb040d045d3f87a671c0a8c5dc110e3e020800a001571a011adb060d
7/30/2019 0:48,RockBLOCK 17285,MO,015d3f8c7171c0a8c5f0c40c3e014500a001281a01186a060d025d3f8ed674c0a8c5dc800f3e013b00a0011d1a0115f9020d035d3f913c74c0a8c53d0f0e3e015300a0013d1e011388040d045d3f93a176c0a8c59c6d0e3e013900a0011b1a011388060d
7/30/2019 1:39,RockBLOCK 17285,MO,015d3f986b72c0a8c596b20c3e013800a001191a011388060d025d3f9ad172c0a8c5840d0f3e013800a001191a011388060d035d3f9d366ec0a8c5ef03103e014300a001251e011388060d045d3f9f9d71c0a8c5f4e00e3e014500a001291a011388060d
7/30/2019 2:31,RockBLOCK 17285,MO,015d3fa46a71c0a8c5c6bf0f3e014a00a001341e011388060d025d3fa6d16dc0a8c5d027123e012b00a0010e1a011388040d035d3fa9376ec0a8c572a7143e012400a001091a011117060d045d3fab9d67c0a8c5e8d90c3e011e00a000631a011388040d
7/30/2019 3:22,RockBLOCK 17285,MO,015d3fb06875c0a8c5db50113e012b00a0010b1a011117060d025d3fb2ce78c0a8c5821c143e013b00a0011d1e011117060d035d3fb5346fc0a8c5598b0f3e015b00a001471a010ea6040d045d3fb79a70c0a8c520630e3e013d00a001221a010ea6040d
7/30/2019 4:13,RockBLOCK 17285,MO,015d3fbc6672c0a8c588ba0f3e012a00a0010a1a010c35080d025d3fbecc73c0a8c58cd6113e013500a001141a0109c4040d035d3fc1326fc0a8c5ed64103e013400a001131a0109c4060d045d3fc3986ec0a8c5bc570d3e013700a001161a0109c4040d
7/30/2019 5:04,RockBLOCK 17285,MO,015d3fc86471c0a8c57fc10e3e013d00a0011f1a0109c4060d025d3fcacb72c0a8c5fbcb0e3e013e00a001211a0109c4040d035d3fcd3175c0a8c5594c0c3e014000a001251a0109c4040d045d3fcf9775c0a8c523a10d3e014200a001281a0109c4060d
7/30/2019 5:55,RockBLOCK 17285,MO,015d3fd4646ec0a8c50e4f0f3e015200a001371e010753060d025d3fd6c96ec0a8c5d673123e015800a0013e1e010753060d035d3fd92f6bc0a8c5e679103e015c00a001421a010753060d045d3fdb956fc0a8c52f17113e015c00a001411a010753060d
7/30/2019 6:47,RockBLOCK 17285,MO,015d3fe06072c0a8c544fa0d3e013c00a0011f1a010753040d025d3fe2c674c0a8c5ec170c3e015900a001401a0109c4040d035d3fe52b8dc0a8c503b257bd015000a001361a0109c4060d045d3fe7911678a7c5c6dcadbf014900a0012e1a010753040d
7/30/2019 7:38,RockBLOCK 17285,MO,015d3fec5ec865a7c5a56693c0013f00a001241a010753060d025d3feec4ea5ca7c5fb05c5c0015100a001371a010753060d035d3ff12a7b54a7c5c8cdfec0014f00a001361a0109c4060d045d3ff3900a4ca7c51bc71cc1024700a002381a010ea6040d
7/30/2019 8:29,RockBLOCK 17285,MO,015d3ff85d0f3ca7c5677257c1013e00a001211e011388060d025d3ffac43834a7c5ded476c1014000a001221a01186a040d035d3ffd2a342ca7c5e1ba8ac1014100a0012322011fbd040d045d3fff8fe023a7c5ad6f99c1014100a001231a01222e060d
7/30/2019 9:20,RockBLOCK 17285,MO,015d40045c8209a7c5e62eaec1013f00a001211a011fbd040d025d4006c326fba6c57c6db8c1013d00a0011f1a011fbd060d035d40092a51eea6c57221c5c1014c00a001301a0204e2060d045d400b903ae2a6c5e584d2c1020700a001541a0209c4060d
7/30/2019 10:12,RockBLOCK 17285,MO,015d40105dcdc9a6c5af3cebc1013c00a001201e020753040d025d4012c34abda6c54434f6c1014f00a001341e0209c4060d035d401529f6b0a6c5fa4701c2014000a00125220209c4040d045d4017904fa6a6c588f107c2014000a001241a020ea6060d
7/30/2019 11:02,RockBLOCK 17285,MO,015d401c5da292a6c52ae614c2020000a0014c1a0304e2060d025d401ec40389a6c5714c1bc2020d00a0015a1a0309c4060d035d40212a6281a6c5df4c22c2021a00a002041e03186a060d045d402390277ba6c57a9f28c2022300a0020d1e03186a060d
7/30/2019 11:53,RockBLOCK 17285,MO,015d40285c1e6fa6c5799b37c2021600a002001a040271060d025d402ac2fa68a6c5efe93dc2020600a001521a040753060d035d402d29fe5fa6c5d3f643c2015a00a001401a041adb040d045d402f8f6e56a6c579294ac2015900a001401a041388040d
7/30/2019 12:45,RockBLOCK 17285,MO,015d40345cdb42a6c579a956c2015100a001351a040000040d025d4036c39138a6c5111e5dc2014500a0012622040000040d035d40392a4f2ea6c50fc262c2014300a001231e040271060d045d403b903824a6c5396b68c2014300a001231a0409c4060d
7/30/2019 13:36,RockBLOCK 17285,MO,015d40405c4e10a6c5b7edc9c2014b00a0012e1a041388080d025d4042c36606a6c5b9c2ccc2015300a001391e050000040d035d40452aacfca5c57f7acfc2013c00a0011f1a041adb080d045d40479162f2a5c5585ad2c2013c00a001201a041d4c060d
7/30/2019 14:28,RockBLOCK 17285,MO,015d404c5e2fdfa5c5d643d8c2014a00a001301e040c35040d025d404ec580d6a5c56876dbc2021900a002091a040271060d035d40512c3bcea5c53374dec2014b00a001341a0315f9060d045d405392f3c5a5c55688e1c2014700a0012e1a031388040d
7/30/2019 15:18,RockBLOCK 17285,MO,015d40585f29b4a5c51c38e8c2014000a001241a030ea6040d025d405ac522aba5c55f6bebc2013e00a001201a030c35040d035d405d2c00a2a5c502daeec2013d00a0011e1a030ea6060d045d405f920359a4c5102cf2c2013c00a0011d1e030ea6060d
7/30/2019 16:09,RockBLOCK 17285,MO,015d40645e5745a4c55040f8c2014000a0011f22030753060d025d4066c36d3aa4c54bf6fac2014000a001201e0304e2040d035d406929d72fa4c5a9f9fdc2014300a001241a030000040d045d406b8fed24a4c56d6d00c3013c00a0011c1a02222e040d
7/30/2019 17:01,RockBLOCK 17285,MO,015d40705b0811a4c5209b03c3013e00a001201a021d4c060d025d4072c1a007a4c5d14a05c3013f00a001231a021adb060d035d407527ddfda3c5ff0307c3014200a001281a021adb040d045d40778d90f4a3c573a108c3013f00a001231e021adb040d
7/30/2019 17:52,RockBLOCK 17285,MO,015d407c5a25e2a3c5faad0bc3014400a001291a021adb060d025d407ec0f4d8a3c5d5310dc3013d00a001221a021adb060d035d408126b2cfa3c5f7a60ec3013e00a001231a021adb040d045d40838b13c6a3c5dc3f10c3021100a001601a021d4c040d
7/30/2019 18:43,RockBLOCK 17285,MO,015d408856d2b3a3c5f51613c3016000a001471a021fbd060d025d408abcdcaaa3c5a26714c3015700a0013c1a02222e040d035d408d224ea2a3c51eb715c3015000a001331a02249f040d045d408f872299a3c5a42b17c3014c00a0012e1a02249f040d
7/30/2019 19:34,RockBLOCK 17285,MO,015d4094521e87a3c57d051ac3020100a0014f1a030271040d025d4096b8927da3c51b711bc3014f00a001351a030271060d035d40991ece74a3c526b51cc3014b00a001311a030271060d045d409b85136ca3c5d3001ec3014a00a0012f1a000000400d
7/30/2019 20:25,RockBLOCK 17285,MO,015d40a050825aa3c5d8b948c3016200a0014a1a0309c4060d025d40a2b66852a3c582214ac3043800a0042e22030c35060d035d40a51dc348a3c51f7d49c3041600a0040b1e0304e2040d045d40a7830c3ea3c580151ec3032f00a0032122030000060d
7/30/2019 21:16,RockBLOCK 17285,MO,015d40ac51a727a3c5935d17c3023100a0021e1a030000040d025d40aeb71a1ca3c5d4f613c3020400a001501a030271060d035d40b11dc010a3c588a810c3013000a001131a030271040d045d40b3832205a3c548790dc3013100a001131a030271040d
7/30/2019 22:08,RockBLOCK 17285,MO,015d40b84e3deda2c55d3307c3013d00a001211a0304e2060d025d40bab4ffe0a2c5381f04c3015f00a0014a1a030271060d035d40bd1a91d5a2c5cdfb00c3013c00a001211a030271040d045d40bf7fa1c9a2c57765fbc2014c00a001311a0304e2040d
7/30/2019 22:59,RockBLOCK 17285,MO,015d40c44b04afa2c5139aefc2015700a0013e1a030753060d025d40c6b1bea0a2c50f25eac2014200a001281a0304e2060d035d40c9175792a2c55420e5c2015500a0013b1e0304e2060d045d40cb7c8483a2c52426e0c2016100a001491a030753040d
7/30/2019 23:50,RockBLOCK 17285,MO,015d40d048ee25a1c5a734d6c2022000a0020d1a0304e2060d025d40d2afbe16a1c57022d1c2015a00a001421a0304e2040d035d40d515b009a1c5aa27cbc2020000a0014e1a0304e2060d045d40d77c8efda0c57d9c69c2020900a001581a0304e2040d
7/31/2019 0:41,RockBLOCK 17285,MO,015d40dc48ace5a0c5f58150c2020800a001581e030271060d025d40deaf0fdaa0c5981744c2013a00a0011b1a0304e2040d035d40e115c3cda0c55c6337c2013b00a0011c1e030271060d045d40e37aa7c1a0c540ca2ac2013c00a0011d1a030000040d
7/31/2019 1:32,RockBLOCK 17285,MO,015d40e84633a9a0c523fb11c2013900a001191e02222e060d025d40eaac679ca0c545db05c2013900a001191e02222e060d035d40ed12938fa0c56f2ff4c1013900a0011a1a02222e060d045d40ef795b82a0c5a380dcc1013700a0011a1a02222e060d
7/31/2019 2:23,RockBLOCK 17285,MO,015d40f445346aa0c59531abc1013e00a001241a02222e060d025d40f6ab3960a0c5b72290c1013900a001211a02222e040d035d40f9119656a0c5f5736cc1013e00a001271a02222e040d045d40fb770b4da0c59d6337c1014b00a0012e2202222e060d
7/31/2019 3:15,RockBLOCK 17285,MO,015d4100416f39a0c500009ec0012700a0010c1a02222e040d025d4102a74d2ea0c54243dbbf014300a0012b1a02249f080d035d41050dbd22a0c5e674193f013d00a001231a030000060d045d410773f320a0c59869fb3d013600a0011c1a030753060d
